nearc4,educ,black,smsa,south,married,exper,lwage
0,7,1,1,0,1,16,6.30627489089966
0,12,0,1,0,1,9,6.17586708068848
0,12,0,1,0,1,16,6.58063888549805
1,11,0,1,0,1,10,5.52146100997925
1,12,0,1,0,1,16,6.59167385101318
1,12,0,1,0,1,8,6.21460819244385
1,18,0,1,0,1,9,6.33682584762573
1,14,0,1,0,1,9,6.41017484664917
1,12,0,1,0,4,10,6.05208921432495
1,12,0,1,0,1,11,6.2441668510437
1,9,0,1,0,1,13,5.41610097885132
1,12,0,1,0,1,8,5.99146509170532
1,11,0,1,0,1,7,6.03308582305908
1,11,0,1,0,1,13,5.37989711761475
1,16,1,1,0,1,9,6.79570579528809
1,14,0,1,0,6,4,5.70378303527832
1,12,0,1,0,1,16,5.84643888473511
1,14,0,1,0,1,9,6.48920488357544
1,10,0,1,0,6,10,6.3543701171875
1,12,0,1,0,1,14,6.47543287277222
1,18,0,1,1,1,8,6.85012578964233
1,18,0,1,0,1,10,6.41999483108521
1,15,0,0,0,1,11,6.58755016326904
1,12,0,1,0,1,10,6.40357398986816
1,12,0,1,0,1,14,6.54102993011475
1,18,0,0,0,1,10,7.24422693252563
1,12,0,1,0,6,8,5.70378303527832
1,18,0,1,0,5,8,7.49554204940796
1,12,0,1,0,1,7,6.02344799041748
1,14,0,0,0,1,9,6.44888877868652
1,12,0,1,0,1,7,5.33753776550293
1,12,1,1,0,6,7,6.12468290328979
1,16,0,1,0,1,2,6.71416997909546
1,18,0,1,0,1,10,6.35784196853638
1,11,0,1,0,1,11,5.54126405715942
1,16,0,1,0,1,8,6.86901378631592
1,10,0,1,0,1,15,6.85012578964233
1,18,0,1,0,1,10,7.04403305053711
1,6,0,1,0,1,15,5.78074407577515
1,11,1,1,0,5,7,5.45958614349365
1,12,0,1,0,1,16,6.90775489807129
1,9,0,1,0,4,11,6.17586708068848
1,15,0,1,0,1,11,6.43615102767944
1,11,0,1,0,1,17,6.47697305679321
1,12,1,1,0,6,6,5.84064102172852
1,16,0,1,1,6,2,5.9401707649231
1,12,0,1,0,1,6,5.86646795272827
1,13,0,1,0,6,6,6.49072408676147
1,17,0,1,0,1,5,6.43133115768433
1,12,0,1,0,1,7,6.0867748260498
1,12,1,1,0,6,8,6.60394382476807
1,11,1,0,1,1,14,5.63478899002075
1,10,0,1,0,1,8,6.07304382324219
1,12,0,1,0,1,9,6.55819797515869
1,12,0,1,0,1,9,6.05208921432495
1,12,0,1,0,1,6,6.34738922119141
1,16,0,1,0,6,8,6.28785800933838
1,16,0,1,0,1,10,6.60664987564087
1,13,0,1,0,1,13,6.5117449760437
1,12,0,1,0,1,16,6.64509105682373
1,12,0,1,0,1,6,6.38350677490234
1,9,1,1,0,6,9,5.36129188537598
1,16,0,1,0,1,12,7.35436201095581
1,16,0,1,0,1,6,6.65157222747803
1,12,0,1,1,1,8,6.39693021774292
1,18,0,1,0,6,0,6.54102993011475
1,13,0,1,0,5,12,6.34563589096069
1,14,0,1,0,5,8,6.07073783874512
1,15,0,1,0,2,7,6.28785800933838
1,12,0,1,0,6,7,6.44094705581665
1,8,0,1,0,1,17,6.17586708068848
1,12,0,1,0,1,8,6.30078601837158
1,12,0,1,0,1,7,6.35610818862915
1,16,0,1,0,1,3,6.55108022689819
1,16,0,1,0,1,6,6.66949796676636
1,17,0,1,0,1,4,6.91968393325806
1,12,0,1,0,1,6,6.63068294525146
1,14,0,1,0,6,9,6.39859485626221
1,12,0,1,0,6,6,5.64544677734375
1,12,0,1,0,6,6,5.52146100997925
1,12,0,1,0,1,8,6.21460819244385
1,11,0,1,0,1,14,6.30991792678833
1,12,0,1,0,1,7,7.04141187667847
1,18,0,1,1,4,7,6.69703388214111
1,12,1,1,0,6,10,5.74620294570923
1,18,0,1,0,1,1,6.5944128036499
1,16,0,1,0,1,3,6.43775177001953
1,14,0,1,0,1,4,6.37672710418701
1,14,0,1,0,1,6,5.92692613601685
1,16,0,1,1,6,7,6.70563888549805
1,14,0,1,0,1,10,6.76273012161255
1,15,0,1,1,1,7,5.85793304443359
1,13,0,1,1,1,5,5.30826807022095
1,13,0,1,1,1,13,6.22455787658691
